feature,importance
categorical__PaymentMethod_Electronic check,0.23193810968036827
categorical__Contract_Month-to-month,0.11225672092738881
numeric__tenure,0.08546268019618
categorical__InternetService_DSL,0.08361669341461347
categorical__InternetService_Fiber,0.08338890264863051
categorical__PaperlessBilling_Yes,0.06556312366301467
numeric__TotalCharges,0.065090244278554
numeric__MonthlyCharges,0.06498504848282337
categorical__PaperlessBilling_No,0.057612364359527
categorical__Partner_Yes,0.02988563039997267
categorical__Dependents_Yes,0.021672020929124614
categorical__Contract_One year,0.014470237059882377
categorical__PaymentMethod_Credit card,0.014047931602932662
categorical__Dependents_No,0.01206280710869039
categorical__Partner_No,0.010818828435888314
categorical__PaymentMethod_Bank transfer,0.008728703068035217
categorical__PaymentMethod_Mailed check,0.007555367244628085
categorical__PhoneService_No,0.007106520206561864
categorical__PhoneService_Yes,0.005577197018237159
categorical__gender_Female,0.005556264739655938
numeric__SeniorCitizen,0.005001131763742291
categorical__Contract_Two year,0.00413566880850438
categorical__gender_Male,0.003467803963043943
